accommodates,neighbourhood_group_cleansed,property_type,room_type,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,price
4,West Seattle,18,Entire home/apt,1,1,1,2,4,506,0,2,30,1,119.06167
4,Other neighborhoods,1,Entire home/apt,2,1,0,2,4,25,60,2,1125,1,110.77798
2,Other neighborhoods,13,Entire home/apt,2,1,1,1,4,898,45,1,1125,1,90.82034
3,Queen Anne,7,Entire home/apt,1,1,0,1,4,667,65,89,1125,0,91.3491
2,Central Area,11,Private room,1,1,2,1,4,1561,25,3,366,0,75.673645
4,Beacon Hill,1,Entire home/apt,1,1,0,3,4,1164,50,2,1125,0,105.042274
5,Other neighborhoods,9,Entire home/apt,4,1,2,2,4,1247,55,2,100,0,160.50887
1,Other neighborhoods,11,Shared room,1,3,1,1,4,51,75,4,1125,0,39.9321
4,Downtown,7,Entire home/apt,4,1,0,2,4,922,75,2,30,1,124.33053
4,Capitol Hill,1,Entire home/apt,1,1,1,2,4,163,95,1,365,0,117.31553
2,Capitol Hill,9,Private room,1,1,0,1,4,947,0,2,6,1,77.69472
2,Other neighborhoods,11,Entire home/apt,1,1,1,1,4,715,75,2,1125,0,124.459755
2,Ballard,1,Entire home/apt,1,1,0,1,4,400,15,2,30,0,77.87439
4,West Seattle,11,Entire home/apt,1,1,3,4,4,1457,0,2,2,0,177.4942
4,Downtown,1,Entire home/apt,1,1,1,2,4,329,50,1,30,0,132.75925
4,Downtown,1,Entire home/apt,2,1,1,2,4,842,125,2,1125,0,141.12329
2,Downtown,1,Entire home/apt,1,1,1,1,4,546,10,1,30,1,144.3005
2,Rainier Valley,11,Private room,1,1,1,1,4,878,20,1,30,1,46.56448
2,Other neighborhoods,1,Entire home/apt,1,1,1,1,4,1024,100,2,1125,0,124.30347
4,University District,1,Entire home/apt,1,1,1,2,4,272,60,1,1125,0,95.252396
2,Ballard,18,Private room,1,1,1,1,4,1355,30,3,90,1,90.9297
6,Queen Anne,11,Entire home/apt,6,2,3,3,4,465,150,2,27,1,253.6656
6,West Seattle,9,Entire home/apt,4,1,2,4,4,1393,100,2,1125,0,154.8184
3,Other neighborhoods,3,Entire home/apt,2,1,1,1,4,935,125,7,60,0,75.0178
4,Northgate,11,Entire home/apt,1,1,2,2,4,1138,40,2,90,1,109.26127
2,Downtown,1,Entire home/apt,1,1,1,1,4,914,75,30,1125,0,155.83978
5,Central Area,11,Entire home/apt,4,1,4,3,4,999,75,3,30,1,152.3829
