accommodates,neighbourhood_group_cleansed,property_type,room_type,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,price
3,Capitol Hill,1,Entire home/apt,1,1,0,1,4,1320,0,1,15,0,106.63052
8,Delridge,11,Entire home/apt,4,1,3,5,4,988,70,1,1125,0,129.1568
4,Central Area,11,Entire home/apt,2,1,1,2,4,733,50,2,8,0,111.68026
6,Other neighborhoods,1,Entire home/apt,4,1,2,2,4,223,50,1,1125,0,144.78992
3,Rainier Valley,11,Private room,3,1,1,2,4,855,9,1,100,1,40.120678
2,University District,11,Private room,1,1,1,1,4,1482,40,1,1125,1,72.40674
6,Other neighborhoods,11,Entire home/apt,1,2,3,3,4,1139,100,2,8,1,215.53543
2,West Seattle,11,Entire home/apt,1,1,1,1,4,490,75,2,1125,1,114.98321
2,Downtown,7,Entire home/apt,1,1,0,1,4,536,75,1,90,0,118.99055
10,Capitol Hill,7,Entire home/apt,6,2,3,6,4,487,125,2,29,0,326.214
4,Other neighborhoods,4,Entire home/apt,4,1,2,2,4,983,160,2,60,0,133.2582
4,Downtown,1,Entire home/apt,1,1,1,2,4,414,85,3,60,0,177.20535
4,Central Area,7,Entire home/apt,3,2,2,2,4,1088,225,30,365,1,152.98471
3,Cascade,1,Entire home/apt,2,1,1,1,4,601,89,2,1125,1,202.6356
2,Other neighborhoods,4,Entire home/apt,1,1,0,2,4,657,75,2,29,0,117.17208
8,Other neighborhoods,11,Entire home/apt,4,1,3,4,4,450,60,2,1000,0,131.3168
2,Northgate,11,Private room,1,1,1,2,4,1352,0,1,7,1,205.17787
2,Capitol Hill,1,Entire home/apt,2,1,1,1,4,519,70,2,1125,1,117.69138
7,Downtown,1,Entire home/apt,7,2,3,4,4,317,109,1,365,1,780.73914
5,Downtown,1,Entire home/apt,4,1,2,2,4,743,129,2,1125,1,240.0472
4,Cascade,7,Entire home/apt,1,1,2,2,4,1476,40,2,1125,1,126.49434
4,Rainier Valley,9,Entire home/apt,2,1,1,2,4,1372,10,2,30,0,87.81804
4,Other neighborhoods,9,Entire home/apt,1,1,1,2,4,635,40,2,90,0,109.47324
4,Cascade,1,Entire home/apt,1,2,2,2,4,563,125,3,1125,1,237.40173
4,Queen Anne,7,Entire home/apt,4,1,1,2,4,822,50,3,60,0,125.054565
7,Queen Anne,1,Entire home/apt,2,1,2,4,4,1235,103,2,1125,0,205.32407
6,Central Area,11,Entire home/apt,3,2,2,3,4,817,125,14,180,0,178.21661
4,West Seattle,11,Entire home/apt,4,2,2,2,4,224,263,2,1125,1,182.66151
4,Delridge,18,Entire home/apt,4,2,2,2,4,1363,75,2,5,0,199.414
2,Capitol Hill,2,Private room,1,1,1,1,4,612,0,1,14,1,105.06619
2,Downtown,1,Entire home/apt,1,1,1,1,4,848,100,30,1125,0,192.71375
2,Cascade,1,Entire home/apt,1,1,1,1,4,720,165,30,1125,0,129.72992
2,Central Area,15,Entire home/apt,1,1,0,1,4,1250,65,1,1125,1,115.803986
6,Queen Anne,11,Private room,2,1,2,3,4,341,72,2,28,1,121.236664
4,Delridge,9,Private room,1,1,0,2,4,953,25,1,1125,1,42.515472
1,Capitol Hill,11,Shared room,1,1,1,1,4,1574,15,1,21,1,36.457592
3,Downtown,1,Entire home/apt,2,1,1,1,4,747,89,2,1125,1,175.23964
1,Downtown,1,Entire home/apt,1,1,1,1,4,1307,75,5,1125,0,185.9468
2,Other neighborhoods,9,Entire home/apt,1,1,0,1,4,869,75,1,1125,1,98.27387
1,Central Area,11,Entire home/apt,1,1,1,1,4,1204,85,14,120,0,90.4112
4,Downtown,1,Entire home/apt,1,2,2,2,4,1342,100,14,1125,0,252.98657
2,Other neighborhoods,11,Private room,1,1,1,1,4,1481,20,1,1125,1,60.00235
2,University District,1,Entire home/apt,1,1,1,1,4,29,30,2,72,0,82.80574
5,University District,1,Entire home/apt,1,1,1,2,4,1236,70,1,1125,0,114.8214
3,Downtown,1,Entire home/apt,2,1,1,1,4,598,89,2,1125,1,247.42513
5,Other neighborhoods,11,Entire home/apt,5,1,2,2,4,244,200,2,180,1,152.54944
6,Other neighborhoods,11,Entire home/apt,6,2,3,5,4,225,254,2,1125,1,160.29692
2,Cascade,1,Entire home/apt,1,1,0,1,4,1287,50,1,1125,1,139.72481
3,Capitol Hill,1,Entire home/apt,1,1,1,2,4,1364,89,2,1125,0,156.77443
5,Ballard,11,Entire home/apt,1,1,3,3,4,1430,0,1,1125,0,119.59048
6,Northgate,1,Entire home/apt,1,1,2,2,4,1079,0,5,63,1,142.69792
2,Other neighborhoods,9,Entire home/apt,2,1,0,2,4,522,50,2,8,1,96.96849
2,Other neighborhoods,18,Entire home/apt,1,1,1,1,4,876,30,2,30,1,90.08544
2,Downtown,1,Entire home/apt,2,1,1,1,4,915,68,2,28,1,153.52968
2,Central Area,11,Private room,1,1,1,1,4,952,50,2,14,0,86.23886
6,Rainier Valley,11,Entire home/apt,4,2,3,3,4,364,25,3,1125,0,207.87372
5,Other neighborhoods,18,Entire home/apt,5,1,3,4,4,816,80,2,1125,1,167.55052
13,University District,11,Entire home/apt,8,3,5,9,4,455,300,3,1125,0,560.56866
2,Downtown,1,Entire home/apt,1,1,0,1,4,65,40,1,21,1,106.35774
4,Rainier Valley,18,Entire home/apt,4,1,2,2,4,1211,80,3,10,0,170.27608
4,Other neighborhoods,11,Entire home/apt,2,1,2,3,4,638,70,2,10,1,129.2735
2,Cascade,15,Entire home/apt,1,1,1,1,4,294,75,2,1125,1,129.39183
2,Rainier Valley,8,Entire home/apt,1,1,0,1,4,472,30,1,20,1,79.01195
1,Other neighborhoods,11,Shared room,1,3,1,1,4,51,75,4,1125,0,39.9321
2,Capitol Hill,9,Entire home/apt,3,1,1,1,4,453,60,1,1125,1,141.01578
4,Downtown,1,Entire home/apt,4,1,0,2,4,629,110,2,90,1,435.08582
4,Capitol Hill,1,Entire home/apt,2,1,1,2,4,1544,25,3,10,0,111.23355
3,Cascade,9,Entire home/apt,1,1,1,2,4,436,40,2,8,0,135.14763
4,Downtown,1,Entire home/apt,1,1,1,2,4,334,99,2,1125,1,886.1895
4,Northgate,9,Entire home/apt,1,1,1,2,4,212,75,2,1125,1,106.735176
3,Downtown,1,Entire home/apt,2,1,1,1,4,745,89,2,1125,1,179.16344
2,Capitol Hill,10,Entire home/apt,1,1,1,1,4,117,40,2,1125,1,91.62061
2,West Seattle,9,Entire home/apt,1,1,0,1,4,1182,75,2,1125,0,114.41219
2,Capitol Hill,0,Private room,1,1,0,1,4,71,0,1,1125,1,64.14948
3,Capitol Hill,1,Entire home/apt,2,1,1,1,4,1142,50,1,1125,1,158.24431
2,Cascade,15,Entire home/apt,1,1,1,1,4,302,75,2,1125,1,129.39183
2,Beacon Hill,11,Private room,1,1,1,1,4,45,0,1,5,0,59.968674
1,University District,11,Private room,1,1,1,1,4,79,20,1,21,1,56.776546
3,University District,1,Entire home/apt,1,1,0,1,4,1238,65,1,1125,0,104.2927
2,Capitol Hill,11,Private room,1,1,1,1,4,1567,25,1,21,1,74.26788
2,Central Area,1,Entire home/apt,2,1,0,1,4,1571,100,1,14,1,143.84981
2,Delridge,18,Private room,1,1,1,1,4,683,25,1,30,0,62.31217
3,Downtown,1,Entire home/apt,2,1,1,1,4,599,89,2,1125,1,247.42513
8,Queen Anne,11,Entire home/apt,1,3,4,4,4,1092,150,3,21,0,407.425
4,Queen Anne,1,Entire home/apt,4,1,2,3,4,493,111,2,180,0,161.15256
2,Other neighborhoods,1,Entire home/apt,1,1,0,1,4,416,35,1,14,0,70.98702
4,Rainier Valley,9,Entire home/apt,1,1,2,2,4,1407,50,1,7,0,113.39215
4,Capitol Hill,9,Entire home/apt,2,1,1,2,4,756,60,2,10,0,126.61794
3,Northgate,10,Entire home/apt,2,1,0,2,4,639,65,2,365,0,105.90337
2,Capitol Hill,11,Private room,1,1,1,1,4,1574,20,1,21,1,73.76864
6,Central Area,18,Entire home/apt,6,2,2,3,4,875,160,2,90,1,229.32417
4,Downtown,1,Entire home/apt,4,2,2,2,4,1341,100,14,1125,0,267.59952
1,West Seattle,7,Private room,1,1,1,1,4,1581,25,1,1125,0,62.781437
6,Other neighborhoods,15,Entire home/apt,1,3,3,3,4,413,0,1,1125,1,213.5487
4,Central Area,11,Entire home/apt,1,1,2,2,4,1311,25,2,2,0,103.58268
4,Ballard,13,Entire home/apt,2,1,0,1,4,718,50,2,29,0,128.61208
3,Downtown,1,Entire home/apt,2,1,1,1,4,599,89,2,1125,1,247.42513
2,West Seattle,11,Private room,2,1,1,1,4,37,0,1,1125,1,79.07931
4,Ballard,1,Entire home/apt,1,1,1,2,4,1530,85,2,1125,1,140.30869
6,Other neighborhoods,9,Entire home/apt,1,1,2,3,4,956,50,1,14,0,109.63315
3,Other neighborhoods,11,Private room,1,2,1,1,4,1486,25,1,365,1,70.08331
6,Beacon Hill,1,Entire home/apt,2,2,3,3,4,1001,215,3,1125,0,197.76422
2,Cascade,15,Entire home/apt,1,1,1,1,4,306,75,2,1125,1,129.39183
3,Downtown,1,Entire home/apt,2,1,1,1,4,747,89,2,1125,1,175.23964
5,West Seattle,11,Private room,2,2,1,2,4,660,30,2,1125,0,137.302
3,Central Area,9,Entire home/apt,2,1,0,1,4,1200,75,1,1125,1,132.47804
2,Capitol Hill,1,Entire home/apt,2,1,1,1,4,919,30,1,20,1,101.767715
6,Other neighborhoods,1,Entire home/apt,3,1,2,3,4,1161,143,2,185,1,142.65532
2,Cascade,15,Entire home/apt,1,1,1,1,4,306,75,1,1125,1,111.816925
3,Downtown,1,Entire home/apt,2,1,1,1,4,745,89,2,1125,1,179.16344
2,West Seattle,11,Private room,2,1,1,1,4,716,15,2,1125,1,68.75222
6,Downtown,7,Entire home/apt,2,1,1,3,4,880,70,1,1124,1,138.53838
2,Central Area,11,Private room,1,1,1,1,4,184,20,1,31,0,59.48829
4,Ballard,9,Entire home/apt,1,1,0,2,4,1312,65,2,60,0,106.72937
7,Rainier Valley,11,Entire home/apt,2,1,2,2,4,1052,40,2,1125,1,108.590294
6,Other neighborhoods,11,Entire home/apt,1,2,3,3,4,239,90,1,1125,0,157.16783
2,Other neighborhoods,1,Entire home/apt,1,1,1,1,4,1443,15,1,1125,1,78.409584
4,Other neighborhoods,6,Entire home/apt,1,1,0,1,4,1452,0,1,4,1,103.77266
2,Downtown,1,Entire home/apt,1,1,2,2,4,550,50,2,10,1,226.25658
2,Beacon Hill,11,Private room,1,1,1,1,4,1435,15,2,26,1,56.09557
3,Rainier Valley,11,Private room,1,1,1,2,4,1535,25,1,14,0,57.73816
2,Downtown,1,Entire home/apt,1,1,1,1,4,914,75,28,1125,0,149.56573
4,Downtown,1,Entire home/apt,1,1,1,2,4,332,99,2,1125,1,886.1895
2,Queen Anne,11,Private room,2,1,1,1,4,810,60,1,1125,1,86.64164
6,Central Area,18,Entire home/apt,1,2,2,2,4,1512,35,3,1125,1,173.77429
6,Ballard,1,Entire home/apt,1,2,2,3,4,1131,50,2,1125,1,201.27882
4,Beacon Hill,11,Entire home/apt,2,1,1,2,4,1174,85,1,14,1,123.86645
4,West Seattle,11,Entire home/apt,1,1,2,2,4,943,75,1,1125,0,122.718994
2,Delridge,18,Private room,2,1,1,1,4,1509,20,2,5,0,58.288677
3,Central Area,9,Entire home/apt,1,1,1,2,4,1203,50,1,1125,1,118.01404
2,Capitol Hill,18,Private room,1,1,1,1,4,1322,25,2,7,1,84.508675
2,Capitol Hill,1,Private room,1,1,1,1,4,624,0,3,1125,0,148.55608
1,Capitol Hill,1,Entire home/apt,1,1,1,1,4,1288,30,1,180,1,105.453186
2,Other neighborhoods,7,Entire home/apt,1,1,1,1,4,1098,100,7,120,0,78.53088
2,Other neighborhoods,9,Entire home/apt,1,1,1,1,4,1489,50,2,1125,1,100.45101
2,Central Area,11,Private room,1,1,1,1,4,1406,20,1,20,1,68.8077
2,Capitol Hill,9,Entire home/apt,1,1,1,1,4,1424,40,1,7,1,96.47728
2,Cascade,15,Entire home/apt,1,1,1,1,4,299,75,2,1125,1,129.39183
11,Capitol Hill,18,Entire home/apt,6,2,3,6,4,201,150,1,365,1,322.8507
4,Other neighborhoods,9,Entire home/apt,2,1,1,2,4,1266,30,1,45,1,97.65766
2,Delridge,9,Entire home/apt,2,1,0,2,4,800,20,1,29,0,65.78399
12,Central Area,11,Entire home/apt,1,2,4,5,4,1050,165,1,200,1,368.53134
2,Queen Anne,11,Private room,1,1,1,1,4,43,0,1,4,1,67.59281
2,Downtown,1,Entire home/apt,2,1,1,1,4,1295,75,30,1125,0,176.66945
3,Delridge,10,Private room,7,1,1,2,4,834,100,1,31,1,64.71281
8,West Seattle,11,Entire home/apt,6,1,2,3,4,460,60,3,1125,0,159.14917
2,Ballard,1,Entire home/apt,1,1,0,1,4,1487,40,2,31,1,84.49515
3,Downtown,1,Entire home/apt,2,1,0,1,4,1229,65,2,1125,1,143.68102
3,Downtown,1,Entire home/apt,2,1,1,1,4,602,89,2,1125,1,247.42513
3,Downtown,15,Entire home/apt,2,1,1,1,4,150,75,2,1125,1,114.44686
1,Ballard,11,Private room,1,0,1,2,4,1513,75,30,1125,0,34.80089
20,Central Area,11,Entire home/apt,10,3,5,10,4,108,200,1,365,1,608.31384
6,Downtown,7,Entire home/apt,1,2,2,5,4,158,90,3,29,1,241.29742
6,Central Area,11,Entire home/apt,4,2,2,4,4,8,125,3,120,0,225.26677
5,Downtown,1,Entire home/apt,4,2,2,2,4,752,139,2,1125,1,320.91782
2,Delridge,9,Entire home/apt,1,1,1,1,4,1506,0,1,7,1,87.6074
3,Beacon Hill,9,Entire home/apt,3,0,2,2,4,1020,25,1,100,1,79.69906
2,Magnolia,8,Private room,1,1,1,1,4,725,15,1,30,0,82.43756
4,Other neighborhoods,1,Entire home/apt,1,1,2,2,4,1021,35,1,1125,1,105.47117
3,Downtown,1,Entire home/apt,2,1,0,1,4,745,89,2,1125,1,151.0592
2,Beacon Hill,11,Private room,1,1,1,1,4,661,10,2,1125,1,75.373825
4,Delridge,9,Entire home/apt,2,1,1,2,4,1009,55,2,29,1,91.278725
6,Other neighborhoods,11,Entire home/apt,6,2,3,6,4,115,328,2,1125,1,160.71733
4,Northgate,11,Entire home/apt,2,1,2,3,4,495,125,2,120,0,151.38031
3,Downtown,1,Entire home/apt,2,1,1,1,4,744,89,2,1125,1,179.16344
3,Downtown,1,Entire home/apt,2,1,1,1,4,600,89,2,1125,1,247.42513
6,Other neighborhoods,11,Entire home/apt,4,1,3,3,4,360,175,7,150,0,298.55902
2,Capitol Hill,9,Private room,1,1,1,1,4,1414,30,1,1125,0,74.315125
4,Magnolia,11,Entire home/apt,4,1,1,2,4,189,99,1,180,1,194.74376
2,Beacon Hill,18,Private room,2,1,1,1,4,1150,0,2,29,0,85.20864
4,Other neighborhoods,1,Entire home/apt,1,1,2,2,4,1177,75,2,40,1,153.75299
3,Seward Park,10,Entire home/apt,1,1,0,1,4,182,35,1,21,0,81.94344
4,Rainier Valley,9,Entire home/apt,2,1,1,2,4,996,40,1,16,0,89.1039
4,Downtown,1,Entire home/apt,2,1,0,2,4,1528,50,1,1123,1,137.23764
2,Capitol Hill,1,Entire home/apt,1,1,1,1,4,893,60,2,10,1,121.34792
4,Downtown,7,Entire home/apt,1,1,1,2,4,841,115,3,60,1,148.5795
2,Central Area,9,Private room,2,1,1,1,4,424,60,3,90,1,90.747055
4,Other neighborhoods,1,Entire home/apt,2,1,1,2,4,313,60,2,1125,1,119.74843
3,Downtown,1,Entire home/apt,2,1,1,1,4,753,89,2,1125,1,175.23964
5,Other neighborhoods,1,Entire home/apt,4,1,1,2,4,354,50,1,1125,0,147.28528
5,Downtown,1,Entire home/apt,1,2,2,3,4,316,99,2,1125,1,899.9664
6,Other neighborhoods,11,Entire home/apt,6,2,3,3,4,859,175,3,90,0,264.80856
20,Queen Anne,11,Entire home/apt,10,3,5,5,4,631,200,1,365,1,435.82898
3,Cascade,15,Entire home/apt,2,1,1,1,4,151,75,2,1125,1,142.05199
4,Other neighborhoods,9,Entire home/apt,2,1,1,2,4,1246,60,2,35,0,113.20879
6,Central Area,13,Entire home/apt,2,1,0,3,4,741,60,2,30,0,107.00102
6,Other neighborhoods,11,Entire home/apt,4,2,2,4,4,794,90,2,21,1,175.98083
1,Central Area,1,Private room,1,1,1,1,4,428,0,2,14,1,78.45671
2,Downtown,1,Private room,1,1,1,1,4,1336,0,2,1125,0,147.14494
7,West Seattle,11,Entire home/apt,4,2,3,4,4,208,150,3,120,1,257.3899
2,Downtown,1,Entire home/apt,1,1,0,2,4,1526,75,2,30,1,148.84569
3,Central Area,1,Entire home/apt,2,1,1,1,4,721,60,2,30,0,129.08061
2,Cascade,3,Entire home/apt,1,1,1,1,4,1216,40,2,90,1,138.68185
4,Seward Park,1,Entire home/apt,2,1,1,2,4,137,55,2,1125,1,113.99021
2,Ballard,11,Private room,1,1,1,1,4,831,0,2,5,0,86.35702
1,Delridge,11,Private room,1,1,1,1,4,1515,15,6,90,1,24.399792
2,Central Area,11,Entire home/apt,2,1,0,1,4,1083,20,2,1125,0,92.01515
6,Other neighborhoods,1,Entire home/apt,3,1,2,2,4,1118,60,2,1125,0,120.942184
4,Ballard,1,Entire home/apt,2,1,1,2,4,262,65,3,1125,0,111.18071
1,Capitol Hill,11,Private room,1,1,1,1,4,254,0,2,30,0,69.178604
2,Rainier Valley,10,Private room,1,1,1,1,4,489,25,2,21,0,56.85159
2,Rainier Valley,13,Entire home/apt,1,1,0,1,4,287,85,4,28,0,98.87518
3,Beacon Hill,1,Entire home/apt,1,1,1,1,4,1114,85,3,1125,0,135.76012
4,Downtown,1,Entire home/apt,2,1,1,1,4,704,30,1,32,1,138.9239
10,Central Area,11,Entire home/apt,1,3,5,6,4,646,250,3,1125,1,395.37814
2,Rainier Valley,9,Entire home/apt,1,1,0,1,4,1401,45,2,1125,1,87.22025
2,Ballard,10,Entire home/apt,1,1,1,1,4,804,50,2,7,1,105.13051
3,Other neighborhoods,11,Entire home/apt,2,1,1,2,4,681,60,2,1125,1,115.16712
8,Capitol Hill,11,Entire home/apt,1,1,4,4,4,1113,200,3,1125,0,277.76205
4,Capitol Hill,1,Entire home/apt,4,1,2,2,4,544,120,4,21,0,126.230934
2,Delridge,10,Entire home/apt,1,1,1,1,4,1147,40,2,1125,1,73.04012
3,Downtown,1,Entire home/apt,2,1,1,1,4,602,89,2,1125,1,247.42513
4,West Seattle,9,Entire home/apt,2,1,1,2,4,1081,75,2,1125,0,140.22227
4,Magnolia,1,Entire home/apt,1,1,1,3,4,995,0,1,1125,1,111.51346
3,Other neighborhoods,9,Entire home/apt,4,1,1,2,4,387,90,2,29,1,131.16608
4,Lake City,9,Entire home/apt,2,1,1,0,4,1074,50,3,10,1,130.18665
2,Northgate,9,Private room,1,1,1,1,4,1390,30,2,31,1,56.512814
4,Other neighborhoods,1,Entire home/apt,2,1,1,2,2,723,25,2,28,1,113.65094
2,Queen Anne,9,Entire home/apt,1,1,1,1,4,1403,50,1,1125,1,119.38697
3,Downtown,1,Entire home/apt,2,1,1,1,4,602,89,2,1125,1,247.42513
2,Capitol Hill,1,Entire home/apt,1,1,0,1,4,1262,40,1,1125,1,96.91522
2,Beacon Hill,11,Private room,1,1,1,1,4,792,0,1,30,1,84.4551
2,West Seattle,18,Private room,1,1,1,1,4,808,25,1,10,0,67.150024
2,Queen Anne,1,Entire home/apt,1,1,0,1,4,268,30,3,1125,1,85.16453
4,Beacon Hill,11,Entire home/apt,2,1,2,2,4,1178,45,1,14,1,94.582405
4,Other neighborhoods,1,Entire home/apt,2,1,1,2,4,757,75,2,1125,0,133.0267
4,Central Area,9,Entire home/apt,2,1,1,2,4,1011,75,1,21,0,126.8047
1,Other neighborhoods,18,Private room,1,1,1,1,4,837,50,2,1125,1,66.78377
2,Downtown,13,Entire home/apt,2,1,0,1,4,584,80,2,120,1,232.95995
3,Queen Anne,1,Entire home/apt,2,1,1,1,4,553,55,1,30,1,107.21283
1,Central Area,18,Private room,1,1,1,1,4,1516,15,1,1125,0,58.232597
7,Downtown,7,Entire home/apt,1,2,2,2,4,174,115,1,1125,0,283.81458
5,Cascade,1,Entire home/apt,1,1,1,3,4,1301,79,1,1125,1,177.23732
3,Downtown,1,Entire home/apt,2,1,1,2,4,765,55,1,1124,1,164.8571
10,Other neighborhoods,11,Entire home/apt,6,2,4,5,4,993,253,2,1125,1,269.20828
4,University District,1,Entire home/apt,1,1,1,2,4,271,70,1,1125,1,99.61903
5,Other neighborhoods,9,Entire home/apt,2,1,1,3,4,982,40,2,29,0,101.17336
2,Cascade,18,Private room,2,1,1,1,4,1176,30,1,1000,0,104.594635
4,Downtown,7,Entire home/apt,2,1,1,2,4,593,90,3,100,1,198.63693
4,Downtown,7,Entire home/apt,2,1,0,2,4,74,50,1,1125,1,93.379135
2,Central Area,11,Private room,1,1,1,1,4,761,45,3,1125,1,71.34928
3,Delridge,9,Entire home/apt,2,1,1,1,4,534,40,2,120,0,73.116
2,Queen Anne,1,Entire home/apt,1,1,0,1,4,907,40,1,21,1,88.54995
3,Downtown,1,Entire home/apt,2,1,1,1,4,602,89,2,1125,1,247.42513
2,Capitol Hill,11,Private room,1,3,1,1,4,1094,0,4,30,0,85.23436
5,Ballard,8,Entire home/apt,4,1,1,3,4,1265,75,3,1125,1,157.56204
4,Downtown,1,Entire home/apt,1,1,1,2,4,334,99,2,1125,1,886.1895
4,Seward Park,11,Private room,2,1,2,2,4,1395,15,1,30,1,71.91123
2,Delridge,10,Entire home/apt,1,1,1,1,4,281,25,3,15,0,81.40469
2,Magnolia,18,Private room,1,1,1,1,4,1375,10,2,1125,0,71.44528
4,Capitol Hill,18,Entire home/apt,4,2,2,2,4,457,125,1,20,0,183.30734
2,Central Area,9,Entire home/apt,2,1,1,1,4,449,40,3,200,1,98.0865
4,Downtown,13,Entire home/apt,2,1,0,1,4,702,85,2,1125,0,154.08298
2,Queen Anne,1,Entire home/apt,1,1,1,1,4,924,0,5,1125,1,122.304634
3,Capitol Hill,1,Entire home/apt,2,1,0,1,4,585,30,1,25,1,132.71332
2,Magnolia,11,Private room,1,1,0,1,4,1068,26,1,60,0,67.61991
10,Central Area,18,Entire home/apt,6,2,3,5,4,108,150,1,365,1,348.38034
2,Downtown,7,Entire home/apt,2,1,1,2,4,1338,0,6,10,0,172.67969
10,Beacon Hill,11,Entire home/apt,8,2,3,5,4,105,200,3,730,0,473.60025
3,Downtown,1,Entire home/apt,2,1,1,1,4,745,89,2,1125,1,179.16344
5,Downtown,1,Entire home/apt,4,2,2,2,4,917,125,30,1125,1,336.88815
7,University District,18,Entire home/apt,4,1,2,4,4,229,60,2,365,1,150.5243
4,Queen Anne,1,Entire home/apt,4,2,2,2,4,524,100,2,1124,1,269.1786
3,Central Area,18,Entire home/apt,2,1,1,1,4,1536,15,1,30,1,98.20394
2,Central Area,9,Entire home/apt,2,1,0,1,4,312,60,1,29,0,92.939476
3,Other neighborhoods,1,Entire home/apt,2,1,1,1,4,1272,45,1,30,0,87.188805
1,Rainier Valley,7,Private room,1,1,2,2,4,1284,10,2,21,1,71.557755
4,Lake City,9,Entire home/apt,2,1,2,2,4,463,50,7,90,0,172.55229
2,Downtown,1,Entire home/apt,1,1,1,1,4,914,75,30,1125,0,155.83978
4,Seward Park,9,Entire home/apt,2,1,2,2,4,372,70,2,90,1,127.525505
4,Ballard,11,Entire home/apt,4,1,2,2,4,651,204,2,1125,1,164.7047
3,Central Area,9,Entire home/apt,2,1,1,1,4,1242,30,3,30,0,93.473465
2,Queen Anne,1,Entire home/apt,2,1,1,1,4,280,50,7,365,1,113.5529
2,Northgate,10,Entire home/apt,2,1,1,1,4,251,35,2,1125,0,78.155075
4,Other neighborhoods,9,Entire home/apt,2,1,2,1,4,669,75,2,1125,0,148.41562
3,Downtown,1,Entire home/apt,2,1,1,1,4,602,89,2,1125,1,247.42513
2,Beacon Hill,11,Private room,1,1,1,1,4,829,0,2,90,1,86.02061
3,Cascade,1,Entire home/apt,2,1,1,1,4,601,89,2,1125,1,202.6356
2,Cascade,3,Entire home/apt,1,1,2,2,4,773,45,1,2,0,127.55541
2,Capitol Hill,1,Entire home/apt,1,1,0,1,4,902,50,1,1125,1,117.13929
8,Other neighborhoods,11,Entire home/apt,1,2,3,4,4,665,100,1,365,0,289.32568
3,Queen Anne,1,Entire home/apt,2,1,0,1,4,694,25,1,10,0,84.85586
4,Downtown,13,Entire home/apt,3,1,0,2,4,307,50,1,1125,0,100.82038
1,Downtown,13,Shared room,1,1,1,2,4,1237,35,30,180,0,41.36323
6,Other neighborhoods,11,Entire home/apt,6,2,3,3,4,256,215,1,365,1,213.08029
2,Central Area,1,Entire home/apt,1,1,1,1,4,1558,0,1,1125,1,105.60037
3,Capitol Hill,1,Entire home/apt,3,1,1,2,4,751,30,2,31,1,112.86525
6,Other neighborhoods,11,Entire home/apt,4,1,2,3,4,572,0,3,15,0,183.15292
4,Delridge,10,Entire home/apt,1,1,1,2,4,1294,75,2,150,1,110.41667
2,Other neighborhoods,11,Entire home/apt,2,1,1,1,4,621,0,2,1125,1,111.952835
4,Downtown,1,Entire home/apt,2,1,1,1,4,847,120,2,21,1,156.48723
2,Central Area,11,Private room,1,1,1,1,4,653,55,3,1125,0,94.156
6,Downtown,1,Entire home/apt,1,1,2,4,4,147,135,3,1125,1,267.50772
4,Capitol Hill,1,Entire home/apt,1,1,2,2,4,1226,150,1,89,1,196.25122
5,Cascade,1,Entire home/apt,1,1,2,2,4,1555,50,3,30,1,139.59384
4,Cascade,1,Entire home/apt,2,1,1,2,4,286,100,3,365,1,224.42557
2,Other neighborhoods,11,Private room,1,1,1,1,4,1397,20,1,2,1,37.849266
4,Downtown,7,Entire home/apt,2,1,1,2,4,342,50,3,1125,1,170.78107
2,Beacon Hill,16,Private room,1,1,1,1,4,827,30,1,20,0,72.64971
4,Central Area,7,Entire home/apt,2,1,2,4,4,1196,80,1,1125,0,200.22916
3,Downtown,1,Entire home/apt,1,1,0,1,4,1552,40,1,21,1,104.20171
3,Lake City,11,Private room,1,1,1,2,4,1120,20,3,1125,0,63.22768
2,Beacon Hill,11,Private room,1,1,1,1,4,1357,50,1,1125,1,105.48532
4,Rainier Valley,9,Entire home/apt,2,1,1,2,4,668,16,1,25,0,79.18422
3,Other neighborhoods,11,Entire home/apt,2,1,2,2,4,821,125,2,1125,1,96.076004
2,Downtown,1,Entire home/apt,2,1,1,1,4,1295,75,30,1125,0,176.66945
4,Other neighborhoods,18,Entire home/apt,1,2,2,2,4,1157,100,5,21,0,182.37015
4,Capitol Hill,11,Entire home/apt,2,1,1,2,4,1412,50,2,1124,1,130.26103
2,Downtown,1,Entire home/apt,1,1,1,1,4,1560,75,3,1125,1,174.72119
2,Downtown,1,Entire home/apt,1,1,1,1,4,1303,75,3,1125,0,185.18686
2,Downtown,7,Entire home/apt,2,1,1,1,4,526,45,3,31,1,135.9169
4,Rainier Valley,1,Entire home/apt,4,1,2,2,4,378,100,2,1125,1,214.17265
2,Lake City,9,Entire home/apt,2,1,1,1,4,776,30,1,1125,1,96.262596
8,Rainier Valley,11,Entire home/apt,1,2,4,4,4,1115,70,2,1125,1,186.57106
4,Beacon Hill,11,Entire home/apt,1,1,2,3,4,491,15,1,1125,1,81.39103
6,Delridge,11,Entire home/apt,1,2,3,4,4,1136,100,2,31,1,191.22293
6,Capitol Hill,11,Entire home/apt,4,1,3,3,4,155,300,4,10000,0,255.14313
4,Capitol Hill,11,Entire home/apt,3,2,3,3,4,459,120,30,1124,0,230.81697
2,Downtown,1,Entire home/apt,2,2,1,1,4,1,0,1,1125,1,165.38074
4,Capitol Hill,1,Entire home/apt,1,1,1,2,4,165,95,2,1125,0,120.873726
